ID рассылки;ID компании;Страница
27364;11251;(пусто)
27364;11543;(пусто)
27364;11551;(пусто)
27364;11722;(пусто)
27364;11815;(пусто)
27364;11999;(пусто)
27364;12574;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=2767949_12574
27364;13036;(пусто)
27364;13093;(пусто)
27364;13113;(пусто)
27364;13211;(пусто)
27364;13643;(пусто)
27364;13909;(пусто)
27364;14407;(пусто)
27364;14661;(пусто)
27364;15451;(пусто)
27364;15529;(пусто)
27364;15817;(пусто)
27364;16175;(пусто)
27364;16278;(пусто)
27364;16426;(пусто)
27364;18596;(пусто)
27364;18618;(пусто)
27364;18810;(пусто)
27364;31390;(пусто)
27364;49967;(пусто)
27364;86982;(пусто)
27364;87314;(пусто)
27364;89375;(пусто)
27364;105335;(пусто)
27364;105553;(пусто)
27364;105558;(пусто)
27364;105594;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=463823_105594
27364;106335;(пусто)
27364;106369;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=470158_106369
27364;108175;(пусто)
27364;108245;(пусто)
27364;108294;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=30337536_108294
27364;117256;(пусто)
27364;121012;(пусто)
27364;121215;(пусто)
27364;123594;(пусто)
27364;124672;(пусто)
27364;124690;(пусто)
27364;125235;(пусто)
27364;125844;(пусто)
27364;125858;(пусто)
27364;125875;(пусто)
27364;126561;(пусто)
27364;126594;(пусто)
27364;126626;(пусто)
27364;126927;(пусто)
27364;127046;(пусто)
27364;127177;(пусто)
27364;127333;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=39117_127333
27364;127477;(пусто)
27364;127722;(пусто)
27364;127950;(пусто)
27364;128017;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=459580_128017
27364;128351;(пусто)
